city_id;size_)city;size_)hut;size_)large_town;size_)mid_town;size_)town;size_)village
693;0;0;0;0;1;0
474;0;0;0;1;0;0
468;0;0;0;0;1;0
494;0;0;0;0;1;0
253;0;0;0;0;0;1
345;0;0;0;1;0;0
1610;0;0;0;1;0;0
385;0;0;0;1;0;0
335;0;0;0;1;0;0
485;0;0;0;0;1;0
93;0;0;0;0;0;1
419;0;0;0;1;0;0
317;0;0;0;0;1;0
984;0;0;0;0;0;1
349;0;0;0;1;0;0
433;0;0;0;0;0;1
611;0;0;0;0;0;1
388;0;0;0;1;0;0
329;0;0;0;1;0;0
942;0;0;0;0;1;0
398;0;0;0;0;1;0
488;0;0;0;0;1;0
182;0;0;0;0;1;0
1362;0;1;0;0;0;0
963;0;0;0;0;0;1
1613;0;0;0;0;0;1
437;0;0;0;1;0;0
393;0;0;0;1;0;0
652;0;0;0;0;0;1
748;0;1;0;0;0;0
203;0;0;0;0;1;0
341;0;0;0;1;0;0
205;0;0;0;0;0;1
184;0;0;0;0;0;1
344;0;0;0;1;0;0
845;0;0;0;0;1;0
1647;0;0;0;0;1;0
450;0;0;0;1;0;0
1765;0;0;0;1;0;0
1593;0;0;0;0;1;0
1719;0;0;0;1;0;0
512;0;0;0;0;1;0
1645;0;0;0;0;0;1
489;0;0;0;0;1;0
1763;0;0;0;0;1;0
1237;0;0;0;0;0;1
947;0;0;0;0;0;1
407;0;0;0;1;0;0
1751;0;0;0;0;1;0
320;0;0;0;0;1;0
199;0;0;0;0;1;0
941;0;0;0;0;0;1
66;0;0;0;0;1;0
562;0;0;0;0;1;0
336;0;0;0;0;1;0
1053;0;0;0;0;0;1
397;0;0;0;0;1;0
111;0;0;0;0;1;0
201;0;0;0;0;1;0
1221;0;0;0;0;0;1
880;0;0;0;0;0;1
537;0;0;0;0;1;0
662;0;0;0;0;0;1
158;0;0;0;0;1;0
463;0;0;0;0;1;0
499;0;0;0;0;1;0
580;0;1;0;0;0;0
1142;0;0;0;0;0;1
681;0;0;0;0;0;1
1400;0;0;0;0;0;1
479;0;0;0;0;0;1
483;0;0;0;1;0;0
767;0;0;0;1;0;0
318;0;0;0;0;1;0
832;0;0;0;0;0;1
400;0;0;0;0;1;0
287;0;0;0;0;0;1
826;0;0;0;0;0;1
1369;0;0;0;1;0;0
810;0;0;0;0;0;1
244;0;1;0;0;0;0
762;0;0;0;0;1;0
644;0;0;0;1;0;0
202;0;0;0;0;1;0
517;0;0;0;1;0;0
172;0;0;0;0;1;0
495;0;0;0;1;0;0
484;0;0;0;0;1;0
1618;0;0;0;0;1;0
1371;0;0;0;0;1;0
1452;0;0;0;0;0;1
1639;0;0;0;0;1;0
190;0;0;0;0;0;1
919;0;1;0;0;0;0
180;0;0;0;0;0;1
425;0;0;0;0;1;0
1790;0;0;0;0;1;0
1660;0;0;0;0;0;1
218;0;1;0;0;0;0
541;0;0;0;0;1;0
502;0;0;0;1;0;0
296;0;0;0;0;1;0
1591;0;0;0;0;0;1
469;0;0;0;0;1;0
1783;0;0;0;0;1;0
588;0;0;0;0;0;1
600;0;1;0;0;0;0
157;0;0;0;0;1;0
643;0;0;0;0;1;0
518;0;0;0;0;1;0
443;0;0;0;1;0;0
608;0;1;0;0;0;0
251;0;0;0;0;0;1
1776;0;0;0;0;0;1
1733;0;0;0;0;0;1
259;0;0;0;0;1;0
1054;0;0;0;0;0;1
322;0;0;0;0;1;0
801;0;0;0;0;0;1
1758;0;0;0;0;0;1
86;0;0;0;0;0;1
376;0;0;0;0;1;0
404;0;0;0;0;1;0
1612;0;0;0;1;0;0
315;0;0;0;0;0;1
383;0;0;0;1;0;0
189;0;0;0;0;1;0
978;0;0;0;0;0;1
371;0;0;0;0;1;0
882;0;0;0;0;0;1
747;0;0;0;0;0;1
506;0;0;0;0;1;0
207;0;0;0;0;1;0
891;0;0;0;0;1;0
288;0;0;0;0;1;0
467;0;0;0;0;1;0
191;0;0;0;0;0;1
763;0;0;0;0;0;1
1209;0;0;0;0;0;1
1594;0;0;0;0;1;0
1598;0;0;0;0;1;0
1287;0;0;0;0;0;1
742;0;0;0;0;0;1
420;0;0;0;0;0;1
361;0;0;0;0;1;0
930;0;0;0;0;0;1
1297;0;1;0;0;0;0
193;0;0;0;0;1;0
1653;0;0;0;0;0;1
1137;0;1;0;0;0;0
392;0;0;0;0;1;0
841;0;0;0;0;0;1
1686;0;0;0;0;1;0
1002;0;1;0;0;0;0
408;0;0;0;0;1;0
1046;0;0;0;0;0;1
1219;0;0;0;0;0;1
1752;0;0;0;0;1;0
1302;0;0;0;0;0;1
1756;0;0;0;0;0;1
498;0;0;0;1;0;0
208;0;0;0;0;1;0
1771;0;0;0;0;0;1
1782;0;0;0;0;1;0
260;0;0;0;0;0;1
1784;0;0;0;0;1;0
508;0;1;0;0;0;0
653;0;0;0;0;1;0
1374;0;0;0;0;1;0
1322;0;0;0;0;1;0
346;0;0;0;1;0;0
340;0;0;0;0;1;0
321;0;0;0;0;1;0
332;0;0;0;1;0;0
507;0;0;0;0;0;1
472;0;0;0;1;0;0
173;0;0;0;0;0;1
1315;0;0;0;0;0;1
530;0;0;0;0;0;1
252;0;0;0;0;1;0
396;0;0;0;0;1;0
1230;0;1;0;0;0;0
1604;0;0;0;0;0;1
324;0;0;0;0;1;0
645;0;0;0;0;1;0
802;0;1;0;0;0;0
395;0;0;0;0;1;0
838;0;0;0;0;1;0
1810;0;1;0;0;0;0
967;0;0;0;0;0;1
946;0;0;0;0;1;0
185;0;0;0;0;0;1
343;0;0;0;0;1;0
1290;0;0;0;0;1;0
1617;0;0;0;1;0;0
378;0;0;0;0;1;0
465;0;0;0;0;0;1
556;0;0;0;0;0;1
